respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.056959081618486014,0.29564009040346223
26708,0.0472890788447375,0.04542262679511136
26709,0.40550827373778114,0.5919742010418674
26710,0.48651099434567646,0.8776780081567337
26711,0.15746826069641648,0.4736315121449294
26712,0.4588059611399192,0.9242551790870787
26713,0.36504486236069933,0.597794134684807
26714,0.1423891931106045,0.2189337746805923
26715,0.04539981572047879,0.16384460033571108
26716,0.21611915281746924,0.8883186363025192
26717,0.011053972726424159,0.2673258063789171
26718,0.22263451338031018,0.550568860818456
26719,0.07021075041367252,0.9192919195212934
26720,0.06519425578489707,0.22171997473523133
26721,0.3202630533157244,0.3485859336654261
26722,0.07926964924929755,0.09391674175273723
26723,0.6609219191830168,0.8563224997786736
26724,0.11938939220724674,0.6355983207789736
26725,0.02562438033552525,0.06567975846752255
26726,0.014448920695591078,0.033606730717687085
26727,0.3503782423792357,0.848595037396422
26728,0.17338730018730428,0.6036532274741089
26729,0.447199356528308,0.9189938604938179
26730,0.0373733581177022,0.19856480204018548
26731,0.018667377517737324,0.3400893260546055
26732,0.09458802313258997,0.07552905745336606
26733,0.9180589941170884,0.9557806042432015
26734,0.8859797659011782,0.37778077247486064
26735,0.16361836479141828,0.4886188665872808
26736,0.05726821466247055,0.16592696792695028
26737,0.08058515229541176,0.10469666672898816
26738,0.5789803574506027,0.834104833358253
26739,0.12249214540219625,0.2945684257624445
26740,0.12203710709429398,0.12905183251686878
26741,0.20398253286233725,0.9025062032668527
26742,0.10670275970487385,0.44530429207123146
26743,0.05023207515210255,0.5883671434489456
26744,0.05862929635548238,0.6620663751570502
26745,0.09744441570441094,0.9344820615267814
26746,0.12288361941694684,0.34840993912657536
26747,0.06812923121540228,0.17814242327455557
26748,0.10625773323853152,0.03578262869520728
26749,0.11051852068272752,0.7074738131455839
26750,0.68793168813866,0.93361262816493
26751,0.3024277377418569,0.725155231059514
26752,0.024397596269980303,0.019003134342425343
26753,0.2139625715699615,0.6841864833221962
26754,0.1332486100828233,0.6481097139650914
26755,0.1010795717123491,0.3774286074213225
26756,0.018488412815601,0.0324424284333752
26757,0.36747824272264545,0.5003811364110903
26758,0.7295193188778505,0.903841926563272
26759,0.02198853753389291,0.16993455238891822
26760,0.014356722897984658,0.026654505518549622
26761,0.17954910233955512,0.6260194914542503
26762,0.14334684938124997,0.8324270766587231
26763,0.8934565280787113,0.9696059902505537
26764,0.9208535369732455,0.9656083214547533
26765,0.028176967896287843,0.6858715719616724
26766,0.09502756940492446,0.18307077321990545
26767,0.7643443330394064,0.767962238598621
26768,0.01182268613535244,0.40765720807145284
26769,0.11663759450133114,0.1585384606790082
26770,0.0875351494135261,0.5230489758702938
26771,0.0458937946302545,0.1919550274281214
26772,0.05211457585725737,0.42927263844946595
26773,0.013368010491479619,0.47963001677322203
26774,0.02820154457470337,0.565282380705898
26775,0.07745878327993153,0.5218538669833928
26776,0.3918117813706685,0.3051021334242417
26777,0.10483425021328406,0.9484473170599936
26778,0.11388373942695447,0.09173259689505683
26779,0.12716171483723857,0.5187337710710266
26780,0.10364060340453585,0.9642521983386576
26781,0.044606801406871885,0.4929863356438667
26782,0.04568838413942113,0.2810247241564125
26783,0.06551912953139734,0.30861290146482545
26784,0.41759828354565254,0.8911952089542794
26785,0.3582020315387269,0.5752396083984884
26786,0.0864810235813869,0.29346178225629316
26787,0.10622109197612803,0.5086654962510657
26788,0.0976973757714921,0.905469745710658
26789,0.01108291049915649,0.2330984230737007
26790,0.061350891062898615,0.28320838670897125
26791,0.07792231556542288,0.12587657698485108
26792,0.19441480471665823,0.74507555613755
26793,0.11646360387151812,0.8973534310217243
26794,0.770788341909008,0.8934410197845869
26795,0.05017220780736988,0.9605661426899692
26796,0.04219027736434131,0.0362923527772572
26797,0.106545423844479,0.6405983539830756
26798,0.19901477466081474,0.15679468004043837
26799,0.2748284877244581,0.20601162418090083
26800,0.03319198000384728,0.9188859032720448
26801,0.2698065804285865,0.4094366824290892
26802,0.0774403841414634,0.154553590917775
26803,0.05544858685340479,0.1691494688881904
26804,0.07020191214546222,0.125170436416145
26805,0.08434190863209663,0.21267844263851787
26806,0.07751439667044696,0.9180721107041067
26807,0.6824886640543906,0.9569708360458188
26808,0.2672483481614024,0.5829809742750188
26809,0.7345502685263703,0.14118053953236714
26810,0.040995561528845766,0.11343706064701903
26811,0.04492597095186565,0.05258362623792108
26812,0.17495868564604403,0.6279847926788914
26813,0.3564943187966841,0.34207087255723645
26814,0.03664330368400338,0.5098048331067847
26815,0.03980776985606218,0.08570559164334472
26816,0.05154784810335575,0.2192633487479211
26817,0.16506109659312274,0.7739619554882318
26818,0.057013474593870385,0.2780337112115727
26819,0.43309226203569146,0.4466481233955145
26820,0.08851210578985856,0.285098039087207
26821,0.08640617053802417,0.5575900599580664
26822,0.2754852791628844,0.6391349931716566
26823,0.44873124029332795,0.5967503931617517
26824,0.040736696648712135,0.7030893749548712
26825,0.3556154685755488,0.7309682505807866
26826,0.09974384180085624,0.7673882312546523
26827,0.03493793894219255,0.09048741316795005
26828,0.1581544416127459,0.6848643891500085
26829,0.6161391564029131,0.9306873769969365
26830,0.0748460403233584,0.7691973054244154
26831,0.22908421085947572,0.8627079135385356
26832,0.13290686290104287,0.849877347334581
26833,0.005144823444569623,0.3097197299094666
26834,0.10293507977036892,0.41635468601970804
26835,0.38205036413902527,0.8998060979722688
26836,0.15055599100059686,0.6521609093876697
26837,0.03599477240153522,0.010837602631954038
26838,0.1027708835465268,0.46275408006007585
26839,0.11998246727198325,0.5494928881019039
26840,0.09064730173084115,0.1330589305789425
